2025-12-31 16:52:24,069 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=DCBO interval=1d path=cache\3e5b656051bfa61508481bac.parquet
2025-12-31 16:52:24,069 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=DCBO interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:24,533 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=DCBO interval=1d
2025-12-31 16:52:24,533 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=MBAV interval=1d path=cache\0ae2053e5e28fad52d60959e.parquet
2025-12-31 16:52:24,535 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=MBAV interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:24,698 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=MBAV interval=1d
2025-12-31 16:52:24,699 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=JBLU interval=1d path=cache\ed3a5baafdf2ac1e1b22df41.parquet
2025-12-31 16:52:24,699 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=JBLU interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:24,835 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=JBLU interval=1d
2025-12-31 16:52:24,835 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=NVMI interval=1d path=cache\9163531cd33755a82e8d396d.parquet
2025-12-31 16:52:24,835 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=NVMI interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:24,965 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=NVMI interval=1d
2025-12-31 16:52:24,965 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=ELTX interval=1d path=cache\8460e0e6972bc82be1c97a1a.parquet
2025-12-31 16:52:24,965 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=ELTX interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:25,151 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=ELTX interval=1d
2025-12-31 16:52:25,151 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=SNES interval=1d path=cache\808c86005732ca26bea7eab4.parquet
2025-12-31 16:52:25,151 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=SNES interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:25,290 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=SNES interval=1d
2025-12-31 16:52:25,290 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=ELVA interval=1d path=cache\e4f3b70fb67336fc0a1c911e.parquet
2025-12-31 16:52:25,290 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=ELVA interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:25,451 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=ELVA interval=1d
2025-12-31 16:52:25,451 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=FLX interval=1d path=cache\45b7bc6f8ee3b10c09b40538.parquet
2025-12-31 16:52:25,451 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=FLX interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:25,716 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=FLX interval=1d
2025-12-31 16:52:25,717 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=ONFOW interval=1d path=cache\98c2b2e1462afee9f6587def.parquet
2025-12-31 16:52:25,717 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=ONFOW interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:52:25,849 | WARNING | backtest_v15.data | DATA_EMPTY ticker=ONFOW interval=1d
